id;station
0;mauriac-lycée-cortat
1;paris-montparnasse 1-2
2;st-dizier
3;grasse
4;rochefort
5;nîmes
6;bréauté-beuzeville
7;la bresse le lispach
8;rang du fl. verton ber.
9;trier-hbf (trèves)
10;cluses (hte-savoie)
11;luc-en-diois
12;meymac
13;port-bou
14;esvres
15;verneuil-sur-serre
16;haguenau-moulin-neuf.
17;la brohinière
18;lugny
19;vezin-carrefour
20;bouxwiller-schattenmann
21;périgueux
22;st-aignan-noyers
23;longwy
24;igney (centre)
25;st-lô
26;sarre-union
27;paris-st-lazare
28;thann-saint-jacques
29;chagny
30;diemeringen
31;audun-le-roman
32;prissé-la-charrière
33;cerbère
34;krimmeri-meinau
35;le-blanc-pl-du-bateau
36;clermont-ferrand
37;nouan-le-fuzelier
38;les sables-d'olonne
39;st-aignan-lep
40;thann arrêt la poste
41;châteauroux-l-giraudoux
42;montereau
43;sarrebourg (place math)
44;st-aignan-pl-wilson
45;chamonix-mont-blanc
46;riom_es_m_la_poste.
47;lamballe
48;nogent-sur-seine
49;mâcon-loché-tgv
50;abancourt
51;lesparre
52;revigny
53;obermodern
54;st christophe / nais c.
55;beslé
56;erstein
57;veigné
58;st-mariens-st-yzan
59;montélimar-g-routière
60;montbazon
61;reignac
62;coutras
63;retiers
64;serquigny
65;mulhouse-gare-centrale
66;rouen-rive-droite
67;paris-montp.3-vaug.
68;lyon-perrache-gare-rout
69;narbonne
70;lourdes
71;besançon-franche-comté
72;mulhouse
73;bléré-la-croix
74;forbach
75;longuyon (collège)
76;limoux
77;bar-le-duc
78;fénétrange (gendarm.)
79;lyon-part-dieu-gare-rou
80;paris-bercy
81;dijon-ville
82;arvant
83;carnoules
84;messac-guipry
85;montauban-ville-bourbon
86;st-flour-les-allées
87;boussens
88;auxerre-st-gervais
89;cannes-la-bocca
90;ambérieu-en-bugey
91;saumur
92;st-jean-de-bassel-eglis
93;vorey
94;clion-sur-indre
95;argentine
96;arches
97;issoudun
98;vichy
99;thesee
100;volvic
101;pont-audemer-gare-sncf
102;cambo-les-bains
103;marmande
104;chartres-gare-routière
105;sucé-sur-erdre
106;voves
107;reignac-bourg-du-fau
108;la douzillère
109;bédarieux
110;bar-sur-aube
111;kédange (eglise)
112;bussang (gare sncf)
113;marvejols place chayla
114;corcieux le conti
115;firminy
116;longuyon
117;rodange
118;tergnier
119;aubigny-sur-nere-mail
120;louhans
121;angers-st-laud
122;figeac
123;bruyères (vosges)
124;lauterbourg
125;epierre-st-léger
126;dormans
127;tournai
128;egletons
129;ribécourt
130;loches-lycee-st-denis
131;issoire-lycée-deville
132;villefranche-sur-saône
133;montauban-de-bretagne
134;capdenac
135;allamps-esat
136;sarrebourg-hôpital
137;grenoble
138;annecy
139;lamotte-beuvron
140;aubrais-(les)
141;wingen-sur-moder
142;ste-croix/mines-sq-de-g
143;valence-ville
144;redon
145;virieu-le-grand-belley
146;oissel
147;toulon
148;hyères
149;pfaffenhoffen-(mairie).
150;lyon-part-dieu
151;herbitzheim r. hambach
152;roeschwoog
153;sedan
154;l'arbresle
155;colomiers
156;le-mont-dore-gare
157;neufchâteau
158;rolleville
159;caen
160;tulle
161;luzy(nièvre)
162;chatellerault
163;font-romeu-odeillo-via
164;montchanin
165;la rochelle-ville
166;woerth rhein
167;châteaubriant
168;andelot
169;bellegarde-s-v. gare
170;sablé-sur-sarthe
171;mâcon-ville
172;clermont-de-l'oise
173;sens
174;sarralbe
175;vierzon-médiathèque
176;montluçon-ville
177;sarrebourg
178;reims
179;besançon-viotte
180;genève
181;st-jean-de-maurienne-a.
182;limoges-bénédictins
183;franois
184;sèlestat-(schwilgué)
185;bitche-quartier-driant
186;pontgibaud-ville
187;château-renault
188;pornic
189;annemasse
190;reipertswiller-sp.
191;montreuil-sur-ille
192;baroncourt
193;le buisson
194;marvejols
195;ancenis
196;st-gervais-mairie
197;lutzelbourg
198;castres
199;lyon-st-paul
200;lamure-sur-azergues
201;ventimiglia-stazione
202;mazamet
203;l'isle-jourdain (gers)
204;bas-monistrol
205;marseille-st-charles
206;besançon-mouillère
207;langon
208;hendaye
209;st omer
210;altkirch
211;chinon-lycée-rabelais
212;loches
213;tours
214;vallorcine
215;sarrebourg-lp-messmer
216;le locle
217;langogne
218;die
219;la souterraine
220;aubagne
221;albi-ville
222;dijon-porte-neuve
223;gramat
224;calais fréthun
225;normandie
226;villefranche-vernet-l.b
227;ancizes-st-georges-bour
228;communay-stade
229;pontorson-mt-st-michel
230;st-martin-d'hères
231;le mont st michel
232;ternay-barbières
233;st-eloy-les-mines-lycée
234;st-georges-d'aurac
235;dieppe
236;surdon
237;lure
238;evian-les-bains
239;vallorbe-cff
240;dossenheim-(mairie)
241;felletin-gare
242;le puy-en-velay
243;fougères
244;cholet
245;saint-cyprien-arènes
246;urcay-hotel-du-lyon-d'o
247;libourne
248;riom-châtel-guyon
249;sewen-(eglise)
250;mutzig-passage-a-niveau
251;saintes
252;carhaix
253;versailles-chantiers
254;ussel
255;vendeuvre (aube)
256;winden pfalz
257;st-chély-d'apcher
258;mouchard
259;paris-est
260;st-gervais-l-b-le-fayet
261;vire-centre
262;noirétable
263;offenburg
264;les laumes-alésia
265;obernai
266;st-pierre-des-corps
267;gardanne
268;rothau
269;durtol-nohanent
270;poitiers
271;bourges
272;granville
273;mons
274;marle-sur-serre
275;laveline-d-bruy. mairie
276;raedersheim
277;benfeld
278;pontarlier
279;bourg-en-bresse
280;st-eloy
281;menton
282;bitche
283;le-breuil-sur-couze-lyc
284;bueil
285;lapeyrouse(puy-de-dôme)
286;issoudun-place-de-la-g.
287;pauillac
288;lunel
289;aiton-salle-polyvalente
290;toulouse-matabiau
291;oyonnax
292;carpentras
293;tassin
294;entzheim-aéroport
295;romilly-sur-seine
296;arcachon
297;st-malo
298;barr
299;etaples le touquet
300;decize
301;briançon
302;vallon-en-sully
303;bresse-claudel (la)
304;barenton-sur-serre
305;carcassonne
306;langeac
307;millau
308;abbeville
309;longueville (s.-et-m.)
310;nan
311;châteaudun
312;morteau
313;douai
314;riquewihr-poste
315;romans-bourg-de-péage
316;st-amand-montrond-orval
317;culmont-chalindrey
318;béthune
319;sélestat-(schweisguth)
320;foix
321;payns abri savières
322;toury
323;montpellier-saint-roch
324;gannat
325;beauvais-gare-sncf
326;bourgoin-jallieu
327;delle
328;ste-marie-sur-ms-pl-.cdg
329;bressuire
330;tessonnières
331;le-verdon
332;janzé
333;montivilliers
334;quimperlé
335;rambervillers
336;dives-cabourg
337;grandris-centre
338;paimpol
339;la-rochelle-pt-dauphine
340;breil-sur-roya
341;chaumont
342;mirecourt (lycée agric)
343;vierzon
344;montmédy
345;sancerre-porte-cesar
346;mussidan
347;kehl
348;bordeaux-st-jean
349;pagny-sur-moselle
350;brest
351;lille europe
352;nogent-le-rotrou
353;ste-pazanne
354;ingwiller
355;lyon-gorge-de-loup
356;la tour-du-pin
357;bedous
358;givet
359;châteaubriant-tt
360;biel
361;hattmatt-s.-polyvalente
362;poule-mairie
363;pont-de-dore
364;poligny
365;briouze
366;sérézin
367;verdun
368;saint-etienne-chtx gr
369;luneville-lp
370;dinan
371;mirecourt
372;avignon-tgv
373;agen
374;busigny
375;sain-bel
376;bening
377;condat-le-lardin
378;valence-gare-routière
379;connerré-beillé
380;hazebrouck
381;albert
382;lorient
383;boën
384;neufchateau-lp
385;valence-tgv
386;cannes
387;savenay
388;bouxwiller-babenhausen
