service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9939,1,1,1,1,0,0,0,20200220,20200520
8655,0,0,0,0,0,1,0,20200314,20200405
2341,0,0,0,0,0,1,0,20200222,20200307
12564,0,0,0,0,0,0,1,20200419,20200426
12565,0,0,0,0,0,1,0,20200314,20200404
12567,0,1,1,1,0,0,0,20200220,20200519
12568,0,0,0,0,0,0,1,20200413,20200426
4047,0,0,0,0,0,1,1,20200222,20200307
12570,0,0,0,0,0,1,1,20200308,20200405
2890,1,1,1,1,0,0,0,20200427,20200515
9147,1,1,1,1,1,0,0,20200220,20200503
4324,0,0,0,0,0,0,1,20200223,20200517
12572,1,1,1,1,1,1,0,20200220,20200405
12573,0,0,0,0,0,0,1,20200503,20200510
12574,0,0,0,0,0,1,0,20200222,20200404
12575,0,0,0,0,1,1,0,20200425,20200509
12576,0,0,0,0,0,0,1,20200419,20200510
12577,1,1,1,1,1,0,0,20200220,20200520
12578,0,0,0,0,0,0,1,20200419,20200510
12579,0,0,0,0,0,1,0,20200222,20200418
12580,0,0,0,0,0,0,1,20200419,20200510
12581,0,0,0,0,0,1,1,20200309,20200405
12582,0,0,0,0,1,1,0,20200425,20200509
12583,0,0,0,0,0,0,1,20200223,20200405
12585,0,0,0,0,0,0,1,20200413,20200517
12586,0,0,0,1,1,0,0,20200312,20200412
12587,0,0,0,0,1,1,0,20200425,20200509
12588,0,0,0,1,0,0,0,20200220,20200305
12589,0,0,0,0,1,1,0,20200425,20200509
12590,0,0,0,0,0,0,1,20200419,20200510
12591,1,1,1,0,0,0,0,20200309,20200412
12592,0,0,0,0,0,1,1,20200222,20200405
12594,1,1,1,0,1,0,0,20200221,20200306
12595,0,0,0,0,1,1,1,20200302,20200405
7013,1,1,1,1,1,0,0,20200220,20200520
6306,1,1,1,1,1,0,0,20200220,20200520
534,1,1,1,1,1,0,0,20200220,20200520
6308,0,0,0,0,0,0,1,20200223,20200517
12600,0,0,0,0,0,1,0,20200222,20200516
2135,1,1,1,1,1,0,0,20200220,20200306
5447,0,0,0,0,1,0,0,20200221,20200228
1154,0,0,0,0,0,1,0,20200222,20200516
6901,0,0,0,0,0,1,0,20200314,20200405
12603,0,0,0,0,0,0,1,20200223,20200517
6261,0,0,0,0,1,1,0,20200425,20200509
7240,0,0,0,0,0,0,1,20200223,20200517
6453,1,1,1,1,1,0,0,20200309,20200410
12605,0,0,0,0,1,1,0,20200425,20200509
12606,0,0,0,0,1,1,0,20200425,20200509
12607,0,0,0,0,0,0,1,20200223,20200517
12020,1,1,1,1,1,0,0,20200220,20200520
127,1,1,1,1,0,0,0,20200427,20200515
12608,1,0,0,0,0,0,0,20200224,20200518
1731,0,0,0,0,1,0,0,20200221,20200520
1149,1,1,1,1,1,0,0,20200309,20200520
7016,1,1,1,1,0,0,0,20200504,20200507
5545,0,0,0,0,0,1,0,20200314,20200405
4048,0,0,0,0,0,0,1,20200413,20200419
605,1,1,1,1,1,0,0,20200309,20200520
604,1,1,1,1,1,0,0,20200220,20200306
3005,0,0,0,0,1,0,0,20200228,20200322
2865,0,0,0,0,0,0,1,20200413,20200419
3003,0,0,0,0,0,0,1,20200308,20200314
79,0,0,0,0,0,1,0,20200321,20200328
