route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1506035,9939,OCESN037071R0100119847,"37071",1,,
OCE1506035,8655,OCESN003191F020027314,"3191",1,,
OCE1506035,12563,OCESN003191F06006~NIR54906,"3191",1,,
OCE1506035,2341,OCESN003191F010017311,"3191",1,,
OCE1506035,12564,OCESN003117F14014~NIR54870,"3117",1,,
OCE1506035,12565,OCESN003115F33033~NIB54867,"3115",1,,
OCE1506035,12566,OCESN003117F16016~NIR54868,"3117",1,,
OCE1506035,12567,OCESN003117F09009~NIB54869,"3117",1,,
OCE1506035,12568,OCESN003121F04004~NIB54878,"3121",1,,
OCE1506035,9145,OCESN003115F220227234,"3115",1,,
OCE1506035,12569,OCESN003115F330337236,"3115",1,,
OCE1506035,4047,OCESN003113F070077226,"3113",1,,
OCE1506035,12570,OCESN003113F200207224,"3113",1,,
OCE1506035,2892,OCESN003119F110117259,"3119",1,,
OCE1506035,2890,OCESN003119F120127258,"3119",1,,
OCE1506035,12571,OCESN003121F11011~NIB54876,"3121",1,,
OCE1506035,2341,OCESN003115F290297238,"3115",1,,
OCE1506035,9147,OCESN003115F190197237,"3115",1,,
OCE1506035,4324,OCESN003115F310317240,"3115",1,,
OCE1506035,12572,OCESN003121F06006~NIB54879,"3121",1,,
OCE1506035,12573,OCESN003105F27027~NIB54839,"3105",1,,
OCE1506035,12574,OCESN003127F01001~NIB54891,"3127",1,,
OCE1506035,12575,OCESN003105F41041~NIR54838,"3105",1,,
OCE1506035,12576,OCESN003103F27027~NIR54834,"3103",1,,
OCE1506035,12577,OCESN003103F14014~NIB54835,"3103",1,,
OCE1506035,12578,OCESN003107F18018~NIB54844,"3107",1,,
OCE1506035,12579,OCESN003109F22022~NIB54852,"3109",1,,
OCE1506035,12580,OCESN003109F38038~NIR54851,"3109",1,,
OCE1506035,12581,OCESN003125F25025~NIB54887,"3125",1,,
OCE1506035,12582,OCESN003109F39039~NIB54853,"3109",1,,
OCE1506035,12583,OCESN003107F22022~NIB54845,"3107",1,,
OCE1506035,12584,OCESN003125F18018~NIB54888,"3125",1,,
OCE1506035,12585,OCESN003125F250257278,"3125",1,,
OCE1506035,12586,OCESN003101F050057154,"3101",1,,
OCE1506035,12587,OCESN003131F18018~NIB54902,"3131",1,,
OCE1506035,12588,OCESN003101F060067153,"3101",1,,
